name,salary
Chris Manhertz,"$1,150,000  "
Clark Harris,"$1,147,500  "
D.K. Metcalf,"$1,146,513  "
Dalvin Tomlinson,"$1,143,025  "
Derrius Guice,"$1,135,483  "
Kyle Nelson,"$1,135,000  "
Rick Lovato,"$1,131,250  "
James Washington,"$1,125,336  "
Morgan Cox,"$1,120,000  "
Zach Cunningham,"$1,117,936  "
Nick Bellore,"$1,115,000  "
James O'Shaughnessy,"$1,112,500  "
DJ Chark,"$1,111,807  "
Ethan Pocic,"$1,102,258  "
Brian O'Neill,"$1,101,660  "
Nick Sundberg,"$1,100,000  "
Thomas Hennessy,"$1,100,000  "
Tyler Ott,"$1,100,000  "
J.J. Jansen,"$1,100,000  "
Carlton Davis,"$1,098,278  "
Tyquan Lewis,"$1,091,514  "
Tanoh Kpassagnon,"$1,080,306  "
Joe Cardona,"$1,077,500  "
Zach Allen,"$1,073,441  "
Chidobe Awuzie,"$1,070,897  "
Diontae Johnson,"$1,070,241  "
Andre Smith,"$1,070,000  "
Jalen Hurd,"$1,069,920  "
Josh Oliver,"$1,062,711  "
Charley Hughlett,"$1,061,667  "
Darrell Henderson,"$1,053,001  "
JuJu Smith-Schuster,"$1,048,945  "
Dion Dawkins,"$1,045,810  "
Josh Harris,"$1,045,000  "
Randy Gregory,"$1,045,000  "
Dre'Mont Jones,"$1,039,700  "
Taylor Moton,"$1,039,538  "
Aaron Brewer,"$1,037,500  "
Brandon Parker,"$1,023,834  "
Germaine Pratt,"$1,020,885  "
Lorenzo Carter,"$1,020,871  "
Sam Beal,"$1,020,574  "
Chad Thomas,"$1,020,404  "
Justin Reid,"$1,015,856  "
B.J. Hill,"$1,011,970  "
David Montgomery,"$1,003,845  "
Fred Warner,"$994,831  "
Royce Freeman,"$985,005  "
Mason Rudolph,"$980,472  "
Larry Ogunjobi,"$976,816  "
Devin Singletary,"$974,500  "
Ahkello Witherspoon,"$971,166  "
Nathan Shepherd,"$968,931  "
Jace Sternberger,"$966,382  "
Alvin Kamara,"$964,443  "
Will Grier,"$963,249  "
Terry McLaurin,"$961,918  "
Dawuane Smoot,"$961,566  "
Matthias Farley,"$960,000  "
Cooper Kupp,"$957,940  "
Chase Winovich,"$956,828  "
Michael Deiter,"$953,562  "
Jerome Baker,"$952,300  "
David Long,"$950,348  "
Ryan Allen,"$945,000  "
Pat Elflein,"$936,960  "
Geron Christian,"$936,748  "
Derrick Nnadi,"$936,400  "
Sione Takitaki,"$933,969  "
Dan Feeney,"$932,908  "
Will Harris,"$930,974  "
Nate Davis,"$925,045  "
Justin Layne,"$920,795  "
Taywan Taylor,"$920,253  "
Khalen Saunders,"$918,295  "
Reid Ferguson,"$915,000  "
Jaylon Ferguson,"$913,702  "
Alex Tanney,"$912,500  "
Billy Winn,"$912,500  "
Kahale Warring,"$910,114  "
Damien Harris,"$907,784  "
Cody Barton,"$906,531  "
Bobby Okereke,"$905,529  "
Sam Hubbard,"$904,800  "
Connor McGovern,"$904,527  "
Jordan Willis,"$904,350  "
Trey Pipkins,"$901,894  "
Chuma Edoga,"$896,750  "
Coty Sensabaugh,"$895,000  "
Kayvon Webster,"$895,000  "
Miles Boykin,"$893,732  "
